"","C14","No.Trees","WD.avg","Ht.avg","DistVillage","Province","Trees.c","Bin"
"67",242.4211019,403,0.632768796,14.06842082,2852.28,"NGOUNIE",399.397964521241,1
"68",135.7226468,455,0.543571815,18.94001183,687.66,"OGOOUE IVINDO",451.397964521241,0
"69",468.6611621,478,0.676717042,29.10282979,1324.36,"OGOOUE MARITIME",474.397964521241,1
"70",271.9683524,457,0.676118039,16.03784949,9678.49,"OGOOUE IVINDO",453.397964521241,1
"71",330.2461673,518,0.681851332,19.54976608,13673.64,"ESTUAIRE",514.397964521241,1
"72",325.8032542,384,0.612339095,19.23561752,13008.25,"OGOOUE LOLO",380.397964521241,1
"73",298.414141,231,0.614219542,30.56448973,7823.55,"WOLEU NTEM",227.397964521241,1
"74",219.0943757,468,0.603397869,15.99149244,2497.8,"HAUT OGOOUE",464.397964521241,0
"76",537.8746911,417,0.729653283,17.38625165,6693.73,"OGOOUE LOLO",413.397964521241,1
"77",139.1073056,516,0.470533333,18.94804182,11774.07,"OGOOUE IVINDO",512.397964521241,0
"78",320.1364495,412,0.646830796,20.70037911,7456.19,"OGOOUE LOLO",408.397964521241,1
"79",385.1221949,595,0.688308859,21.87382761,7666.7,"NGOUNIE",591.397964521241,1
"80",346.2119102,357,0.690273562,19.42646119,16725,"OGOOUE IVINDO",353.397964521241,1
"81",82.63934935,498,0.524932237,16.00504998,5608.27,"HAUT OGOOUE",494.397964521241,0
"83",483.7889318,368,0.696025862,32.64110854,17865.79,"OGOOUE IVINDO",364.397964521241,1
"84",557.8728798,416,0.668275458,32.68483292,9438.29,"OGOOUE IVINDO",412.397964521241,1
"85",324.7430506,639,0.614170619,16.29580159,11572.42,"NGOUNIE",635.397964521241,1
"86",547.0806327,192,0.91,31.83773667,19386.26,"OGOOUE MARITIME",188.397964521241,1
"87",354.1190535,477,0.606317625,18.7475503,6925.61,"OGOOUE LOLO",473.397964521241,1
"88",480.6143945,375,0.733562269,31.00724023,13540.1,"OGOOUE MARITIME",371.397964521241,1
"89",515.3781463,410,0.706172335,29.19722314,22387.36,"OGOOUE MARITIME",406.397964521241,1
"90",339.9469403,392,0.646296653,19.38121859,16812.66,"OGOOUE LOLO",388.397964521241,1
"91",54.98599075,64,0.727627583,16.95127628,1538.64,"ESTUAIRE",60.397964521241,0
"92",292.0853918,450,0.705837979,19.82104046,17189.09,"ESTUAIRE",446.397964521241,1
"93",75.74178722,514,0.649421785,9.580001981,10758.25,"HAUT OGOOUE",510.397964521241,0
"94",532.7467179,511,0.679055434,18.75796168,3801.13,"MOYEN OGOOUE",507.397964521241,1
"95",22.98423191,230,0.287209321,14.60096494,1021.96,"ESTUAIRE",226.397964521241,0
"96",312.9260928,548,0.681808511,22.46469216,12653.47,"OGOOUE MARITIME",544.397964521241,1
"97",354.430962,612,0.672735915,17.253562,17701.1,"NYANGA",608.397964521241,1
"98",440.1848407,428,0.659917788,22.65798546,17641.01,"ESTUAIRE",424.397964521241,1
"99",209.5258445,314,0.665551869,16.22211535,41278.95,"WOLEU NTEM",310.397964521241,0
"100",55.70616527,269,0.624234184,10.23367172,1859.33,"NGOUNIE",265.397964521241,0
"101",259.6108267,369,0.648016415,19.48394657,9058.37,"WOLEU NTEM",365.397964521241,1
"102",376.1284014,383,0.556217726,23.7166005,27766.51,"OGOOUE MARITIME",379.397964521241,1
"103",63.37716568,379,0.640610818,8.486611023,10973.56,"HAUT OGOOUE",375.397964521241,0
"104",301.5041123,458,0.681965517,19.49600446,3279.23,"OGOOUE IVINDO",454.397964521241,1
